Entity (Dataset) Name:;OpenFOAM_flowField_p;Snapshot of a (kinematic) pressure field in OpenFOAM format (i.e., 'FoamFile' format);;;
Dimensions:;nCells;Number of cells;;;
Properties:;version ;char;-;1;Specifies the version of the FoamFile format
;format ;char;-;1;File format (either ascii or binary)
;class;char;-;1;The corresponding OpenFOAM class the entity is based on
;location;char;-;1;Time directory the entity is residing in
;object;char;-;1;The name of the entity
;dimensions ;char;-;1;String specifying the SI units of the entity
;internalField;double;m²/s²;nCells;List of scalars containing the actual pressure for each cell
