Entity (Dataset) Name:;PASCAL_fluxParticle_T;Snapshot of the total heat flux leaving/entering the particle in HDF5 or JSON format;;;
Dimensions:;nParticles;Number of particles within the simulation;;;
Properties:;name;char;-;1;Name of the entity
;data;double;W;nParticles;The actual total heat flux
