Entity (Dataset) Name:;C3PO_sample_temperatureFluid;Set of samples for the fluid temperature experienced by each particle in JSON or HDF5 format;;;
Dimensions:;nSamples;Number of samples drawn;;;
Properties:;name;char;-;1;Name of the entity
;data;double;K;nSamples;A list of scalars representing the fluid temperature experienced by each sampled particle
