   CH4(S1) => CH3(S1) + H(S2)
  T/K     DeltaU(kJ/mol)  DeltaH(kJ/mol)  DeltaS(J/K mol)  DeltaG(kJ/mol)     K
 4970.0            20.24           20.24           -93.54          485.13  7.97e-06
 4980.0            20.24           20.24           -93.54          486.07  7.98e-06
 4990.0            20.24           20.24           -93.54          487.00  7.98e-06
 5000.0            20.24           20.24           -93.54          487.94  7.99e-06

   CH3(S1) + H(S2) => CH4(S1)
  T/K     DeltaU(kJ/mol)  DeltaH(kJ/mol)  DeltaS(J/K mol)  DeltaG(kJ/mol)     K
  600.0           -19.65          -19.65            94.66          -76.44  4.52e+06
  610.0           -19.67          -19.67            94.62          -77.39  4.23e+06
  620.0           -19.69          -19.69            94.58          -78.34  3.98e+06
  630.0           -19.72          -19.72            94.54          -79.28  3.74e+06
  640.0           -19.74          -19.74            94.51          -80.23  3.53e+06
  650.0           -19.77          -19.77            94.47          -81.17  3.33e+06
  660.0           -19.79          -19.79            94.43          -82.12  3.15e+06
  670.0           -19.81          -19.81            94.40          -83.06  2.99e+06
  680.0           -19.84          -19.84            94.36          -84.00  2.84e+06
  690.0           -19.86          -19.86            94.32          -84.95  2.69e+06
  700.0           -19.89          -19.89            94.29          -85.89  2.56e+06
  710.0           -19.91          -19.91            94.26          -86.83  2.44e+06
  720.0           -19.93          -19.93            94.23          -87.78  2.33e+06
  730.0           -19.96          -19.96            94.19          -88.72  2.23e+06
  740.0           -19.98          -19.98            94.16          -89.66  2.13e+06
  750.0           -20.00          -20.00            94.13          -90.60  2.04e+06
  760.0           -20.02          -20.02            94.10          -91.54  1.96e+06
  770.0           -20.04          -20.04            94.08          -92.48  1.88e+06
  780.0           -20.07          -20.07            94.05          -93.42  1.80e+06
  790.0           -20.09          -20.09            94.02          -94.36  1.73e+06
  800.0           -20.11          -20.11            94.00          -95.30  1.67e+06
  810.0           -20.13          -20.13            93.97          -96.24  1.61e+06
  820.0           -20.15          -20.15            93.95          -97.18  1.55e+06
  830.0           -20.17          -20.17            93.92          -98.12  1.50e+06
  840.0           -20.19          -20.19            93.90          -99.06  1.45e+06
  850.0           -20.20          -20.20            93.88         -100.00  1.40e+06
  860.0           -20.22          -20.22            93.86         -100.94  1.35e+06
  870.0           -20.24          -20.24            93.84         -101.88  1.31e+06
  880.0           -20.26          -20.26            93.82         -102.82  1.27e+06
  890.0           -20.27          -20.27            93.80         -103.75  1.23e+06
  900.0           -20.29          -20.29            93.78         -104.69  1.19e+06
  910.0           -20.31          -20.31            93.76         -105.63  1.16e+06
  920.0           -20.32          -20.32            93.74         -106.57  1.12e+06
  930.0           -20.34          -20.34            93.73         -107.50  1.09e+06
  940.0           -20.35          -20.35            93.71         -108.44  1.06e+06
  950.0           -20.37          -20.37            93.70         -109.38  1.03e+06
  960.0           -20.38          -20.38            93.68         -110.32  1.01e+06
  970.0           -20.39          -20.39            93.67         -111.25  9.79e+05
  980.0           -20.41          -20.41            93.65         -112.19  9.54e+05
  990.0           -20.42          -20.42            93.64         -113.13  9.30e+05
 1000.0           -20.43          -20.43            93.63         -114.06  9.08e+05
 1010.0           -20.44          -20.44            93.62         -115.00  8.86e+05
 1020.0           -20.46          -20.46            93.61         -115.93  8.65e+05
 1030.0           -20.47          -20.47            93.59         -116.87  8.45e+05
 1040.0           -20.48          -20.48            93.58         -117.81  8.26e+05
 1050.0           -20.49          -20.49            93.57         -118.74  8.07e+05
 1060.0           -20.50          -20.50            93.56         -119.68  7.89e+05
 1070.0           -20.51          -20.51            93.55         -120.61  7.73e+05
 1080.0           -20.52          -20.52            93.54         -121.55  7.56e+05
 1090.0           -20.53          -20.53            93.54         -122.48  7.40e+05
 1100.0           -20.54          -20.54            93.53         -123.42  7.25e+05
 1110.0           -20.55          -20.55            93.52         -124.35  7.11e+05
 1120.0           -20.56          -20.56            93.51         -125.29  6.97e+05
 1130.0           -20.57          -20.57            93.50         -126.22  6.83e+05
 1140.0           -20.57          -20.57            93.50         -127.16  6.70e+05
 1150.0           -20.58          -20.58            93.49         -128.09  6.58e+05
 1160.0           -20.59          -20.59            93.48         -129.03  6.46e+05
 1170.0           -20.60          -20.60            93.48         -129.96  6.34e+05
 1180.0           -20.60          -20.60            93.47         -130.90  6.23e+05
 1190.0           -20.61          -20.61            93.47         -131.83  6.12e+05
 1200.0           -20.62          -20.62            93.46         -132.77  6.01e+05
 1210.0           -20.62          -20.62            93.46         -133.70  5.91e+05
 1220.0           -20.63          -20.63            93.45         -134.64  5.81e+05
 1230.0           -20.63          -20.63            93.45         -135.57  5.72e+05
 1240.0           -20.64          -20.64            93.44         -136.51  5.63e+05
 1250.0           -20.64          -20.64            93.44         -137.44  5.54e+05
 1260.0           -20.65          -20.65            93.43         -138.38  5.45e+05
 1270.0           -20.65          -20.65            93.43         -139.31  5.37e+05
 1280.0           -20.66          -20.66            93.43         -140.24  5.28e+05
 1290.0           -20.66          -20.66            93.42         -141.18  5.21e+05
 1300.0           -20.67          -20.67            93.42         -142.11  5.13e+05
 1310.0           -20.67          -20.67            93.42         -143.05  5.05e+05
 1320.0           -20.68          -20.68            93.41         -143.98  4.98e+05
 1330.0           -20.68          -20.68            93.41         -144.91  4.91e+05
 1340.0           -20.68          -20.68            93.41         -145.85  4.84e+05
 1350.0           -20.69          -20.69            93.40         -146.78  4.78e+05
 1360.0           -20.69          -20.69            93.40         -147.72  4.71e+05
 1370.0           -20.69          -20.69            93.40         -148.65  4.65e+05
 1380.0           -20.70          -20.70            93.40         -149.58  4.59e+05
 1390.0           -20.70          -20.70            93.40         -150.52  4.53e+05
 1400.0           -20.70          -20.70            93.39         -151.45  4.47e+05
 1410.0           -20.70          -20.70            93.39         -152.39  4.42e+05
 1420.0           -20.71          -20.71            93.39         -153.32  4.36e+05
 1430.0           -20.71          -20.71            93.39         -154.25  4.31e+05
 1440.0           -20.71          -20.71            93.39         -155.19  4.26e+05
 1450.0           -20.71          -20.71            93.39         -156.12  4.21e+05
 1460.0           -20.71          -20.71            93.38         -157.06  4.16e+05
 1470.0           -20.72          -20.72            93.38         -157.99  4.11e+05
 1480.0           -20.72          -20.72            93.38         -158.92  4.06e+05
 1490.0           -20.72          -20.72            93.38         -159.86  4.02e+05
 1500.0           -20.72          -20.72            93.38         -160.79  3.97e+05
 1510.0           -20.72          -20.72            93.38         -161.72  3.93e+05
 1520.0           -20.72          -20.72            93.38         -162.66  3.89e+05
 1530.0           -20.72          -20.72            93.38         -163.59  3.85e+05
 1540.0           -20.72          -20.72            93.38         -164.53  3.81e+05
 1550.0           -20.73          -20.73            93.38         -165.46  3.77e+05
 1560.0           -20.73          -20.73            93.38         -166.39  3.73e+05
 1570.0           -20.73          -20.73            93.38         -167.33  3.69e+05
 1580.0           -20.73          -20.73            93.38         -168.26  3.65e+05
 1590.0           -20.73          -20.73            93.38         -169.20  3.62e+05
 1600.0           -20.73          -20.73            93.38         -170.13  3.58e+05
 1610.0           -20.73          -20.73            93.38         -171.06  3.55e+05
 1620.0           -20.73          -20.73            93.38         -172.00  3.51e+05
 1630.0           -20.73          -20.73            93.37         -172.93  3.48e+05
 1640.0           -20.73          -20.73            93.37         -173.86  3.45e+05
 1650.0           -20.73          -20.73            93.37         -174.80  3.42e+05
 1660.0           -20.73          -20.73            93.37         -175.73  3.39e+05
 1670.0           -20.73          -20.73            93.38         -176.67  3.35e+05
 1680.0           -20.73          -20.73            93.38         -177.60  3.33e+05
 1690.0           -20.73          -20.73            93.38         -178.53  3.30e+05
 1700.0           -20.73          -20.73            93.38         -179.47  3.27e+05
 1710.0           -20.73          -20.73            93.38         -180.40  3.24e+05
 1720.0           -20.73          -20.73            93.38         -181.33  3.21e+05
 1730.0           -20.73          -20.73            93.38         -182.27  3.19e+05
 1740.0           -20.73          -20.73            93.38         -183.20  3.16e+05
 1750.0           -20.73          -20.73            93.38         -184.14  3.13e+05
 1760.0           -20.72          -20.72            93.38         -185.07  3.11e+05
 1770.0           -20.72          -20.72            93.38         -186.00  3.08e+05
 1780.0           -20.72          -20.72            93.38         -186.94  3.06e+05
 1790.0           -20.72          -20.72            93.38         -187.87  3.04e+05
 1800.0           -20.72          -20.72            93.38         -188.80  3.01e+05
 1810.0           -20.72          -20.72            93.38         -189.74  2.99e+05
 1820.0           -20.72          -20.72            93.38         -190.67  2.97e+05
 1830.0           -20.72          -20.72            93.38         -191.61  2.94e+05
 1840.0           -20.72          -20.72            93.38         -192.54  2.92e+05
 1850.0           -20.72          -20.72            93.38         -193.47  2.90e+05
 1860.0           -20.72          -20.72            93.38         -194.41  2.88e+05
 1870.0           -20.71          -20.71            93.38         -195.34  2.86e+05
 1880.0           -20.71          -20.71            93.38         -196.27  2.84e+05
 1890.0           -20.71          -20.71            93.38         -197.21  2.82e+05
 1900.0           -20.71          -20.71            93.39         -198.14  2.80e+05
 1910.0           -20.71          -20.71            93.39         -199.08  2.78e+05
 1920.0           -20.71          -20.71            93.39         -200.01  2.76e+05
 1930.0           -20.71          -20.71            93.39         -200.94  2.74e+05
 1940.0           -20.71          -20.71            93.39         -201.88  2.73e+05
 1950.0           -20.70          -20.70            93.39         -202.81  2.71e+05
 1960.0           -20.70          -20.70            93.39         -203.75  2.69e+05
 1970.0           -20.70          -20.70            93.39         -204.68  2.67e+05
 1980.0           -20.70          -20.70            93.39         -205.61  2.66e+05
 1990.0           -20.70          -20.70            93.39         -206.55  2.64e+05
 2000.0           -20.70          -20.70            93.39         -207.48  2.62e+05
 2010.0           -20.69          -20.69            93.39         -208.42  2.61e+05
 2020.0           -20.69          -20.69            93.39         -209.35  2.59e+05
 2030.0           -20.69          -20.69            93.39         -210.28  2.57e+05
 2040.0           -20.69          -20.69            93.40         -211.22  2.56e+05
 2050.0           -20.69          -20.69            93.40         -212.15  2.54e+05
 2060.0           -20.69          -20.69            93.40         -213.08  2.53e+05
 2070.0           -20.68          -20.68            93.40         -214.02  2.51e+05
 2080.0           -20.68          -20.68            93.40         -214.95  2.50e+05
 2090.0           -20.68          -20.68            93.40         -215.89  2.49e+05
 2100.0           -20.68          -20.68            93.40         -216.82  2.47e+05
 2110.0           -20.68          -20.68            93.40         -217.75  2.46e+05
 2120.0           -20.68          -20.68            93.40         -218.69  2.44e+05
 2130.0           -20.67          -20.67            93.40         -219.62  2.43e+05
 2140.0           -20.67          -20.67            93.40         -220.56  2.42e+05
 2150.0           -20.67          -20.67            93.40         -221.49  2.40e+05
 2160.0           -20.67          -20.67            93.41         -222.43  2.39e+05
 2170.0           -20.67          -20.67            93.41         -223.36  2.38e+05
 2180.0           -20.67          -20.67            93.41         -224.29  2.37e+05
 2190.0           -20.66          -20.66            93.41         -225.23  2.35e+05
 2200.0           -20.66          -20.66            93.41         -226.16  2.34e+05
 2210.0           -20.66          -20.66            93.41         -227.10  2.33e+05
 2220.0           -20.66          -20.66            93.41         -228.03  2.32e+05
 2230.0           -20.66          -20.66            93.41         -228.96  2.31e+05
 2240.0           -20.65          -20.65            93.41         -229.90  2.30e+05
 2250.0           -20.65          -20.65            93.41         -230.83  2.28e+05
 2260.0           -20.65          -20.65            93.41         -231.77  2.27e+05
 2270.0           -20.65          -20.65            93.41         -232.70  2.26e+05
 2280.0           -20.65          -20.65            93.42         -233.63  2.25e+05
 2290.0           -20.64          -20.64            93.42         -234.57  2.24e+05
 2300.0           -20.64          -20.64            93.42         -235.50  2.23e+05
 2310.0           -20.64          -20.64            93.42         -236.44  2.22e+05
 2320.0           -20.64          -20.64            93.42         -237.37  2.21e+05
 2330.0           -20.64          -20.64            93.42         -238.31  2.20e+05
 2340.0           -20.63          -20.63            93.42         -239.24  2.19e+05
 2350.0           -20.63          -20.63            93.42         -240.17  2.18e+05
 2360.0           -20.63          -20.63            93.42         -241.11  2.17e+05
 2370.0           -20.63          -20.63            93.42         -242.04  2.16e+05
 2380.0           -20.63          -20.63            93.42         -242.98  2.15e+05
 2390.0           -20.63          -20.63            93.42         -243.91  2.14e+05
 2400.0           -20.62          -20.62            93.43         -244.84  2.13e+05
 2410.0           -20.62          -20.62            93.43         -245.78  2.12e+05
 2420.0           -20.62          -20.62            93.43         -246.71  2.11e+05
 2430.0           -20.62          -20.62            93.43         -247.65  2.11e+05
 2440.0           -20.62          -20.62            93.43         -248.58  2.10e+05
 2450.0           -20.61          -20.61            93.43         -249.52  2.09e+05
 2460.0           -20.61          -20.61            93.43         -250.45  2.08e+05
 2470.0           -20.61          -20.61            93.43         -251.38  2.07e+05
 2480.0           -20.61          -20.61            93.43         -252.32  2.06e+05
 2490.0           -20.61          -20.61            93.43         -253.25  2.05e+05
 2500.0           -20.60          -20.60            93.43         -254.19  2.05e+05
 2510.0           -20.60          -20.60            93.43         -255.12  2.04e+05
 2520.0           -20.60          -20.60            93.44         -256.06  2.03e+05
 2530.0           -20.60          -20.60            93.44         -256.99  2.02e+05
 2540.0           -20.60          -20.60            93.44         -257.93  2.01e+05
 2550.0           -20.59          -20.59            93.44         -258.86  2.01e+05
 2560.0           -20.59          -20.59            93.44         -259.79  2.00e+05
 2570.0           -20.59          -20.59            93.44         -260.73  1.99e+05
 2580.0           -20.59          -20.59            93.44         -261.66  1.98e+05
 2590.0           -20.59          -20.59            93.44         -262.60  1.98e+05
 2600.0           -20.58          -20.58            93.44         -263.53  1.97e+05
 2610.0           -20.58          -20.58            93.44         -264.47  1.96e+05
 2620.0           -20.58          -20.58            93.44         -265.40  1.96e+05
 2630.0           -20.58          -20.58            93.44         -266.33  1.95e+05
 2640.0           -20.58          -20.58            93.44         -267.27  1.94e+05
 2650.0           -20.57          -20.57            93.45         -268.20  1.93e+05
 2660.0           -20.57          -20.57            93.45         -269.14  1.93e+05
 2670.0           -20.57          -20.57            93.45         -270.07  1.92e+05
 2680.0           -20.57          -20.57            93.45         -271.01  1.91e+05
 2690.0           -20.57          -20.57            93.45         -271.94  1.91e+05
 2700.0           -20.56          -20.56            93.45         -272.88  1.90e+05
 2710.0           -20.56          -20.56            93.45         -273.81  1.89e+05
 2720.0           -20.56          -20.56            93.45         -274.75  1.89e+05
 2730.0           -20.56          -20.56            93.45         -275.68  1.88e+05
 2740.0           -20.56          -20.56            93.45         -276.61  1.88e+05
 2750.0           -20.55          -20.55            93.45         -277.55  1.87e+05
 2760.0           -20.55          -20.55            93.45         -278.48  1.86e+05
 2770.0           -20.55          -20.55            93.45         -279.42  1.86e+05
 2780.0           -20.55          -20.55            93.45         -280.35  1.85e+05
 2790.0           -20.55          -20.55            93.46         -281.29  1.85e+05
 2800.0           -20.54          -20.54            93.46         -282.22  1.84e+05
 2810.0           -20.54          -20.54            93.46         -283.16  1.83e+05
 2820.0           -20.54          -20.54            93.46         -284.09  1.83e+05
 2830.0           -20.54          -20.54            93.46         -285.03  1.82e+05
 2840.0           -20.54          -20.54            93.46         -285.96  1.82e+05
 2850.0           -20.53          -20.53            93.46         -286.89  1.81e+05
 2860.0           -20.53          -20.53            93.46         -287.83  1.81e+05
 2870.0           -20.53          -20.53            93.46         -288.76  1.80e+05
 2880.0           -20.53          -20.53            93.46         -289.70  1.80e+05
 2890.0           -20.53          -20.53            93.46         -290.63  1.79e+05
 2900.0           -20.53          -20.53            93.46         -291.57  1.78e+05
 2910.0           -20.52          -20.52            93.46         -292.50  1.78e+05
 2920.0           -20.52          -20.52            93.46         -293.44  1.77e+05
 2930.0           -20.52          -20.52            93.46         -294.37  1.77e+05
 2940.0           -20.52          -20.52            93.47         -295.31  1.76e+05
 2950.0           -20.52          -20.52            93.47         -296.24  1.76e+05
 2960.0           -20.51          -20.51            93.47         -297.18  1.75e+05
 2970.0           -20.51          -20.51            93.47         -298.11  1.75e+05
 2980.0           -20.51          -20.51            93.47         -299.04  1.74e+05
 2990.0           -20.51          -20.51            93.47         -299.98  1.74e+05
 3000.0           -20.51          -20.51            93.47         -300.91  1.73e+05
 3010.0           -20.50          -20.50            93.47         -301.85  1.73e+05
 3020.0           -20.50          -20.50            93.47         -302.78  1.73e+05
 3030.0           -20.50          -20.50            93.47         -303.72  1.72e+05
 3040.0           -20.50          -20.50            93.47         -304.65  1.72e+05
 3050.0           -20.50          -20.50            93.47         -305.59  1.71e+05
 3060.0           -20.50          -20.50            93.47         -306.52  1.71e+05
 3070.0           -20.49          -20.49            93.47         -307.46  1.70e+05
 3080.0           -20.49          -20.49            93.47         -308.39  1.70e+05
 3090.0           -20.49          -20.49            93.47         -309.33  1.69e+05
 3100.0           -20.49          -20.49            93.48         -310.26  1.69e+05
 3110.0           -20.49          -20.49            93.48         -311.20  1.69e+05
 3120.0           -20.48          -20.48            93.48         -312.13  1.68e+05
 3130.0           -20.48          -20.48            93.48         -313.07  1.68e+05
 3140.0           -20.48          -20.48            93.48         -314.00  1.67e+05
 3150.0           -20.48          -20.48            93.48         -314.93  1.67e+05
 3160.0           -20.48          -20.48            93.48         -315.87  1.66e+05
 3170.0           -20.48          -20.48            93.48         -316.80  1.66e+05
 3180.0           -20.47          -20.47            93.48         -317.74  1.66e+05
 3190.0           -20.47          -20.47            93.48         -318.67  1.65e+05
 3200.0           -20.47          -20.47            93.48         -319.61  1.65e+05
 3210.0           -20.47          -20.47            93.48         -320.54  1.64e+05
 3220.0           -20.47          -20.47            93.48         -321.48  1.64e+05
 3230.0           -20.47          -20.47            93.48         -322.41  1.64e+05
 3240.0           -20.46          -20.46            93.48         -323.35  1.63e+05
 3250.0           -20.46          -20.46            93.48         -324.28  1.63e+05
 3260.0           -20.46          -20.46            93.48         -325.22  1.62e+05
 3270.0           -20.46          -20.46            93.48         -326.15  1.62e+05
 3280.0           -20.46          -20.46            93.48         -327.09  1.62e+05
 3290.0           -20.46          -20.46            93.49         -328.02  1.61e+05
 3300.0           -20.45          -20.45            93.49         -328.96  1.61e+05
 3310.0           -20.45          -20.45            93.49         -329.89  1.61e+05
 3320.0           -20.45          -20.45            93.49         -330.83  1.60e+05
 3330.0           -20.45          -20.45            93.49         -331.76  1.60e+05
 3340.0           -20.45          -20.45            93.49         -332.70  1.60e+05
 3350.0           -20.45          -20.45            93.49         -333.63  1.59e+05
 3360.0           -20.44          -20.44            93.49         -334.57  1.59e+05
 3370.0           -20.44          -20.44            93.49         -335.50  1.59e+05
 3380.0           -20.44          -20.44            93.49         -336.44  1.58e+05
 3390.0           -20.44          -20.44            93.49         -337.37  1.58e+05
 3400.0           -20.44          -20.44            93.49         -338.31  1.58e+05
 3410.0           -20.44          -20.44            93.49         -339.24  1.57e+05
 3420.0           -20.43          -20.43            93.49         -340.18  1.57e+05
 3430.0           -20.43          -20.43            93.49         -341.11  1.57e+05
 3440.0           -20.43          -20.43            93.49         -342.05  1.56e+05
 3450.0           -20.43          -20.43            93.49         -342.98  1.56e+05
 3460.0           -20.43          -20.43            93.49         -343.92  1.56e+05
 3470.0           -20.43          -20.43            93.49         -344.85  1.55e+05
 3480.0           -20.42          -20.42            93.49         -345.79  1.55e+05
 3490.0           -20.42          -20.42            93.50         -346.72  1.55e+05
 3500.0           -20.42          -20.42            93.50         -347.66  1.54e+05
 3510.0           -20.42          -20.42            93.50         -348.59  1.54e+05
 3520.0           -20.42          -20.42            93.50         -349.53  1.54e+05
 3530.0           -20.42          -20.42            93.50         -350.46  1.53e+05
 3540.0           -20.41          -20.41            93.50         -351.40  1.53e+05
 3550.0           -20.41          -20.41            93.50         -352.33  1.53e+05
 3560.0           -20.41          -20.41            93.50         -353.27  1.52e+05
 3570.0           -20.41          -20.41            93.50         -354.20  1.52e+05
 3580.0           -20.41          -20.41            93.50         -355.14  1.52e+05
 3590.0           -20.41          -20.41            93.50         -356.07  1.52e+05
 3600.0           -20.41          -20.41            93.50         -357.01  1.51e+05
 3610.0           -20.40          -20.40            93.50         -357.94  1.51e+05
 3620.0           -20.40          -20.40            93.50         -358.88  1.51e+05
 3630.0           -20.40          -20.40            93.50         -359.81  1.50e+05
 3640.0           -20.40          -20.40            93.50         -360.75  1.50e+05
 3650.0           -20.40          -20.40            93.50         -361.68  1.50e+05
 3660.0           -20.40          -20.40            93.50         -362.62  1.50e+05
 3670.0           -20.39          -20.39            93.50         -363.55  1.49e+05
 3680.0           -20.39          -20.39            93.50         -364.49  1.49e+05
 3690.0           -20.39          -20.39            93.50         -365.42  1.49e+05
 3700.0           -20.39          -20.39            93.50         -366.36  1.49e+05
 3710.0           -20.39          -20.39            93.50         -367.29  1.48e+05
 3720.0           -20.39          -20.39            93.50         -368.23  1.48e+05
 3730.0           -20.39          -20.39            93.51         -369.16  1.48e+05
 3740.0           -20.38          -20.38            93.51         -370.10  1.48e+05
 3750.0           -20.38          -20.38            93.51         -371.03  1.47e+05
 3760.0           -20.38          -20.38            93.51         -371.97  1.47e+05
 3770.0           -20.38          -20.38            93.51         -372.90  1.47e+05
 3780.0           -20.38          -20.38            93.51         -373.84  1.46e+05
 3790.0           -20.38          -20.38            93.51         -374.77  1.46e+05
 3800.0           -20.38          -20.38            93.51         -375.71  1.46e+05
 3810.0           -20.37          -20.37            93.51         -376.64  1.46e+05
 3820.0           -20.37          -20.37            93.51         -377.58  1.46e+05
 3830.0           -20.37          -20.37            93.51         -378.51  1.45e+05
 3840.0           -20.37          -20.37            93.51         -379.45  1.45e+05
 3850.0           -20.37          -20.37            93.51         -380.38  1.45e+05
 3860.0           -20.37          -20.37            93.51         -381.32  1.45e+05
 3870.0           -20.37          -20.37            93.51         -382.25  1.44e+05
 3880.0           -20.36          -20.36            93.51         -383.19  1.44e+05
 3890.0           -20.36          -20.36            93.51         -384.12  1.44e+05
 3900.0           -20.36          -20.36            93.51         -385.06  1.44e+05
 3910.0           -20.36          -20.36            93.51         -385.99  1.43e+05
 3920.0           -20.36          -20.36            93.51         -386.93  1.43e+05
 3930.0           -20.36          -20.36            93.51         -387.86  1.43e+05
 3940.0           -20.36          -20.36            93.51         -388.80  1.43e+05
 3950.0           -20.35          -20.35            93.51         -389.73  1.42e+05
 3960.0           -20.35          -20.35            93.51         -390.67  1.42e+05
 3970.0           -20.35          -20.35            93.51         -391.60  1.42e+05
 3980.0           -20.35          -20.35            93.51         -392.54  1.42e+05
 3990.0           -20.35          -20.35            93.51         -393.47  1.42e+05
 4000.0           -20.35          -20.35            93.52         -394.41  1.41e+05
 4010.0           -20.35          -20.35            93.52         -395.34  1.41e+05
 4020.0           -20.35          -20.35            93.52         -396.28  1.41e+05
 4030.0           -20.34          -20.34            93.52         -397.21  1.41e+05
 4040.0           -20.34          -20.34            93.52         -398.15  1.41e+05
 4050.0           -20.34          -20.34            93.52         -399.08  1.40e+05
 4060.0           -20.34          -20.34            93.52         -400.02  1.40e+05
 4070.0           -20.34          -20.34            93.52         -400.95  1.40e+05
 4080.0           -20.34          -20.34            93.52         -401.89  1.40e+05
 4090.0           -20.34          -20.34            93.52         -402.82  1.39e+05
 4100.0           -20.34          -20.34            93.52         -403.76  1.39e+05
 4110.0           -20.33          -20.33            93.52         -404.70  1.39e+05
 4120.0           -20.33          -20.33            93.52         -405.63  1.39e+05
 4130.0           -20.33          -20.33            93.52         -406.57  1.39e+05
 4140.0           -20.33          -20.33            93.52         -407.50  1.38e+05
 4150.0           -20.33          -20.33            93.52         -408.44  1.38e+05
 4160.0           -20.33          -20.33            93.52         -409.37  1.38e+05
 4170.0           -20.33          -20.33            93.52         -410.31  1.38e+05
 4180.0           -20.33          -20.33            93.52         -411.24  1.38e+05
 4190.0           -20.32          -20.32            93.52         -412.18  1.37e+05
 4200.0           -20.32          -20.32            93.52         -413.11  1.37e+05
 4210.0           -20.32          -20.32            93.52         -414.05  1.37e+05
 4220.0           -20.32          -20.32            93.52         -414.98  1.37e+05
 4230.0           -20.32          -20.32            93.52         -415.92  1.37e+05
 4240.0           -20.32          -20.32            93.52         -416.85  1.37e+05
 4250.0           -20.32          -20.32            93.52         -417.79  1.36e+05
 4260.0           -20.32          -20.32            93.52         -418.72  1.36e+05
 4270.0           -20.31          -20.31            93.52         -419.66  1.36e+05
 4280.0           -20.31          -20.31            93.52         -420.59  1.36e+05
 4290.0           -20.31          -20.31            93.52         -421.53  1.36e+05
 4300.0           -20.31          -20.31            93.52         -422.46  1.35e+05
 4310.0           -20.31          -20.31            93.52         -423.40  1.35e+05
 4320.0           -20.31          -20.31            93.52         -424.33  1.35e+05
 4330.0           -20.31          -20.31            93.52         -425.27  1.35e+05
 4340.0           -20.31          -20.31            93.53         -426.21  1.35e+05
 4350.0           -20.30          -20.30            93.53         -427.14  1.35e+05
 4360.0           -20.30          -20.30            93.53         -428.08  1.34e+05
 4370.0           -20.30          -20.30            93.53         -429.01  1.34e+05
 4380.0           -20.30          -20.30            93.53         -429.95  1.34e+05
 4390.0           -20.30          -20.30            93.53         -430.88  1.34e+05
 4400.0           -20.30          -20.30            93.53         -431.82  1.34e+05
 4410.0           -20.30          -20.30            93.53         -432.75  1.34e+05
 4420.0           -20.30          -20.30            93.53         -433.69  1.33e+05
 4430.0           -20.30          -20.30            93.53         -434.62  1.33e+05
 4440.0           -20.29          -20.29            93.53         -435.56  1.33e+05
 4450.0           -20.29          -20.29            93.53         -436.49  1.33e+05
 4460.0           -20.29          -20.29            93.53         -437.43  1.33e+05
 4470.0           -20.29          -20.29            93.53         -438.36  1.33e+05
 4480.0           -20.29          -20.29            93.53         -439.30  1.32e+05
 4490.0           -20.29          -20.29            93.53         -440.23  1.32e+05
 4500.0           -20.29          -20.29            93.53         -441.17  1.32e+05
 4510.0           -20.29          -20.29            93.53         -442.10  1.32e+05
 4520.0           -20.28          -20.28            93.53         -443.04  1.32e+05
 4530.0           -20.28          -20.28            93.53         -443.98  1.32e+05
 4540.0           -20.28          -20.28            93.53         -444.91  1.31e+05
 4550.0           -20.28          -20.28            93.53         -445.85  1.31e+05
 4560.0           -20.28          -20.28            93.53         -446.78  1.31e+05
 4570.0           -20.28          -20.28            93.53         -447.72  1.31e+05
 4580.0           -20.28          -20.28            93.53         -448.65  1.31e+05
 4590.0           -20.28          -20.28            93.53         -449.59  1.31e+05
 4600.0           -20.28          -20.28            93.53         -450.52  1.31e+05
 4610.0           -20.28          -20.28            93.53         -451.46  1.30e+05
 4620.0           -20.27          -20.27            93.53         -452.39  1.30e+05
 4630.0           -20.27          -20.27            93.53         -453.33  1.30e+05
 4640.0           -20.27          -20.27            93.53         -454.26  1.30e+05
 4650.0           -20.27          -20.27            93.53         -455.20  1.30e+05
 4660.0           -20.27          -20.27            93.53         -456.13  1.30e+05
 4670.0           -20.27          -20.27            93.53         -457.07  1.30e+05
 4680.0           -20.27          -20.27            93.53         -458.01  1.29e+05
 4690.0           -20.27          -20.27            93.53         -458.94  1.29e+05
 4700.0           -20.27          -20.27            93.53         -459.88  1.29e+05
 4710.0           -20.26          -20.26            93.53         -460.81  1.29e+05
 4720.0           -20.26          -20.26            93.53         -461.75  1.29e+05
 4730.0           -20.26          -20.26            93.53         -462.68  1.29e+05
 4740.0           -20.26          -20.26            93.54         -463.62  1.29e+05
 4750.0           -20.26          -20.26            93.54         -464.55  1.28e+05
 4760.0           -20.26          -20.26            93.54         -465.49  1.28e+05
 4770.0           -20.26          -20.26            93.54         -466.42  1.28e+05
 4780.0           -20.26          -20.26            93.54         -467.36  1.28e+05
 4790.0           -20.26          -20.26            93.54         -468.29  1.28e+05
 4800.0           -20.26          -20.26            93.54         -469.23  1.28e+05
 4810.0           -20.25          -20.25            93.54         -470.16  1.28e+05
 4820.0           -20.25          -20.25            93.54         -471.10  1.27e+05
 4830.0           -20.25          -20.25            93.54         -472.04  1.27e+05
 4840.0           -20.25          -20.25            93.54         -472.97  1.27e+05
 4850.0           -20.25          -20.25            93.54         -473.91  1.27e+05
 4860.0           -20.25          -20.25            93.54         -474.84  1.27e+05
 4870.0           -20.25          -20.25            93.54         -475.78  1.27e+05
 4880.0           -20.25          -20.25            93.54         -476.71  1.27e+05
