   CH4(S1) => CH3(S1) + H(S2)
Arrhenius parameters A, B, E:    3.711e+06    0.21  100.494
  T/K     k_calc(s-1)      k_fit(s-1)       f_unc       uncertainty(%)
 1570.0   8.06e+03         8.10e+03      4.3854e+00           338.5
 1580.0   8.48e+03         8.52e+03      4.3446e+00           334.5
 1590.0   8.91e+03         8.95e+03      4.3046e+00           330.5
 1600.0   9.36e+03         9.40e+03      4.2655e+00           326.6
 1610.0   9.82e+03         9.86e+03      4.2273e+00           322.7
 1620.0   1.03e+04         1.03e+04      4.1898e+00           319.0
 1630.0   1.08e+04         1.08e+04      4.1532e+00           315.3
 1640.0   1.13e+04         1.14e+04      4.1172e+00           311.7
 1650.0   1.19e+04         1.19e+04      4.0821e+00           308.2
 1660.0   1.24e+04         1.24e+04      4.0476e+00           304.8
 1670.0   1.30e+04         1.30e+04      4.0139e+00           301.4
 1680.0   1.36e+04         1.36e+04      3.9808e+00           298.1
 1690.0   1.42e+04         1.42e+04      3.9484e+00           294.8
 1700.0   1.48e+04         1.48e+04      3.9167e+00           291.7
 1710.0   1.55e+04         1.55e+04      3.8855e+00           288.6
 1720.0   1.61e+04         1.62e+04      3.8550e+00           285.5
 1730.0   1.68e+04         1.69e+04      3.8250e+00           282.5
 1740.0   1.75e+04         1.76e+04      3.7956e+00           279.6
 1750.0   1.83e+04         1.83e+04      3.7668e+00           276.7
 1760.0   1.90e+04         1.91e+04      3.7385e+00           273.9
 1770.0   1.98e+04         1.98e+04      3.7108e+00           271.1
 1780.0   2.06e+04         2.06e+04      3.6836e+00           268.4
 1790.0   2.14e+04         2.15e+04      3.6568e+00           265.7
 1800.0   2.23e+04         2.23e+04      3.6306e+00           263.1
 1810.0   2.32e+04         2.32e+04      3.6048e+00           260.5
 1820.0   2.41e+04         2.41e+04      3.5795e+00           257.9
 1830.0   2.50e+04         2.50e+04      3.5546e+00           255.5
 1840.0   2.59e+04         2.59e+04      3.5302e+00           253.0
 1850.0   2.69e+04         2.69e+04      3.5062e+00           250.6
 1860.0   2.79e+04         2.79e+04      3.4827e+00           248.3
 1870.0   2.89e+04         2.89e+04      3.4595e+00           246.0
 1880.0   3.00e+04         3.00e+04      3.4367e+00           243.7
 1890.0   3.10e+04         3.10e+04      3.4144e+00           241.4
 1900.0   3.22e+04         3.21e+04      3.3924e+00           239.2
 1910.0   3.33e+04         3.33e+04      3.3707e+00           237.1
 1920.0   3.44e+04         3.44e+04      3.3495e+00           234.9
 1930.0   3.56e+04         3.56e+04      3.3286e+00           232.9
 1940.0   3.68e+04         3.68e+04      3.3080e+00           230.8
 1950.0   3.81e+04         3.80e+04      3.2878e+00           228.8
 1960.0   3.94e+04         3.93e+04      3.2679e+00           226.8
 1970.0   4.07e+04         4.06e+04      3.2483e+00           224.8
 1980.0   4.20e+04         4.19e+04      3.2290e+00           222.9
 1990.0   4.33e+04         4.33e+04      3.2100e+00           221.0
 2000.0   4.47e+04         4.47e+04      3.1914e+00           219.1
